EmployeeID,Age,Gender,Department,JobRole,Education,MonthlyIncome,TotalWorkingYears,YearsInCurrentRole,YearsAtCompany,JobSatisfaction,WorkLifeBalance,Overtime,DistanceFromHome,Attrition
316,26,Female,Research & Development,Research Scientist,Master's,6527,8,0,6,4,1,No,9,No
317,58,Female,Research & Development,Research Director,Bachelor's,8168,35,10,17,3,4,No,22,Yes
318,44,Male,Research & Development,Research Director,Bachelor's,9796,3,2,3,3,3,No,18,No
319,30,Male,Sales,Sales Executive,Master's,17290,11,1,4,3,1,No,19,Yes
320,43,Female,IT,IT Manager,Master's,16887,24,9,20,4,1,No,14,No
321,59,Male,Research & Development,Research Scientist,Bachelor's,9524,15,0,0,1,1,No,19,Yes
322,43,Male,Finance,Finance Manager,Bachelor's,10643,16,6,11,3,2,No,22,No
323,43,Female,Sales,Sales Representative,Bachelor's,14010,12,0,0,4,1,No,6,Yes
324,52,Female,Sales,Sales Executive,Bachelor's,16818,13,9,9,4,3,Yes,9,No
325,39,Female,Sales,Sales Representative,Master's,10251,21,7,14,3,1,No,1,No
326,21,Female,Research & Development,Laboratory Technician,High School,11637,0,0,0,2,3,No,1,No
327,49,Male,Human Resources,HR Executive,Master's,14858,6,0,1,1,1,No,3,No
328,37,Female,Finance,Finance Manager,Master's,9874,10,2,8,1,1,Yes,26,No
329,49,Female,Human Resources,HR Executive,Bachelor's,13238,24,8,15,4,3,No,7,No
330,23,Female,Research & Development,Research Director,Bachelor's,13681,2,0,0,2,1,No,19,Yes
331,60,Male,IT,IT Manager,PhD,13564,35,3,14,1,1,No,13,No
332,49,Female,IT,Software Engineer,Bachelor's,16505,2,2,2,2,4,No,23,No
333,52,Female,Sales,Manager,Master's,11777,26,1,10,4,1,No,28,No
334,57,Male,Sales,Sales Executive,Bachelor's,14118,31,0,19,1,3,No,29,No
335,37,Male,IT,IT Support,Bachelor's,13638,15,6,6,1,4,No,10,No
336,33,Female,Research & Development,Research Scientist,Master's,8444,10,2,5,4,1,Yes,30,No
337,46,Female,Sales,Sales Executive,Bachelor's,2870,1,1,1,2,3,No,17,No
338,50,Female,Research & Development,Research Director,Bachelor's,17825,0,0,0,1,4,Yes,26,No
339,35,Male,Sales,Manager,Master's,12506,14,3,3,3,2,No,26,No
340,42,Female,Sales,Sales Executive,Master's,11299,5,4,4,3,3,No,24,No
341,60,Female,IT,IT Manager,Master's,15017,28,4,6,2,2,No,1,No
342,51,Male,Finance,Accountant,Bachelor's,6960,26,2,9,3,3,No,16,No
343,31,Female,IT,IT Support,Master's,5350,13,4,11,2,2,Yes,24,No
344,55,Male,Sales,Manager,Master's,13888,2,0,0,2,3,No,29,No
345,45,Female,Human Resources,Manager,Bachelor's,13594,19,2,15,4,3,No,23,No
346,24,Female,IT,Software Engineer,Bachelor's,4717,5,0,0,4,2,No,11,No
347,43,Male,Human Resources,HR Specialist,High School,6216,10,3,4,3,1,No,25,No
348,24,Male,Human Resources,Manager,Bachelor's,4178,0,0,0,4,4,Yes,18,No
349,53,Female,Sales,Sales Representative,PhD,3641,14,7,11,4,2,No,28,No
350,58,Female,Research & Development,Research Scientist,High School,12302,1,1,1,4,4,No,22,No
351,36,Female,Sales,Manager,Bachelor's,5066,13,10,13,4,1,No,24,No
352,55,Male,IT,IT Support,Master's,2964,19,1,4,3,3,No,8,Yes
353,32,Female,Research & Development,Research Director,Bachelor's,6356,0,0,0,4,2,No,19,Yes
354,40,Male,Sales,Sales Representative,Master's,17763,17,1,5,4,3,Yes,3,No
355,60,Male,Research & Development,Research Director,Bachelor's,3361,10,4,7,4,4,No,28,No
356,42,Male,IT,Software Engineer,High School,8579,3,1,2,2,3,No,24,No
357,52,Female,Human Resources,HR Specialist,Bachelor's,5699,4,1,1,2,4,No,16,Yes
358,54,Male,Research & Development,Research Director,Master's,7708,8,4,5,4,2,No,8,No
359,33,Male,Research & Development,Research Director,Bachelor's,5603,0,0,0,1,4,No,27,No
360,39,Female,Research & Development,Laboratory Technician,Bachelor's,2726,6,0,0,4,2,Yes,7,No
361,37,Female,IT,IT Support,PhD,16400,16,2,4,1,4,No,22,No
362,58,Female,Human Resources,Manager,Bachelor's,10079,27,2,20,3,1,No,16,No
363,26,Male,Research & Development,Laboratory Technician,Bachelor's,16579,2,0,1,3,4,No,29,No
364,41,Female,Sales,Manager,High School,14169,19,6,6,4,1,No,10,No
365,21,Female,Sales,Sales Executive,Bachelor's,5629,2,0,0,4,2,No,23,No
366,59,Male,Finance,Financial Analyst,Master's,13765,27,6,15,2,2,No,30,No
367,33,Male,Human Resources,HR Specialist,Master's,4147,10,4,4,3,1,No,20,No
368,50,Female,Research & Development,Research Director,Bachelor's,4217,32,8,19,3,1,No,11,No
369,34,Male,Research & Development,Research Scientist,Master's,16079,7,2,7,1,3,No,30,Yes
370,49,Male,Finance,Finance Manager,Master's,14170,20,7,20,4,2,No,6,No
371,55,Male,Sales,Sales Executive,Bachelor's,13912,10,0,7,3,2,No,19,No
372,48,Male,Human Resources,HR Specialist,Bachelor's,15080,1,0,1,3,4,No,26,No
373,56,Female,Sales,Sales Executive,PhD,10539,18,1,2,4,3,No,10,No
374,24,Male,IT,Software Engineer,PhD,14924,5,2,3,3,4,No,24,No
375,44,Male,Research & Development,Laboratory Technician,Bachelor's,11997,21,8,9,4,4,Yes,19,Yes
376,35,Male,IT,IT Support,Bachelor's,14456,2,0,0,4,2,No,23,No
377,21,Female,Research & Development,Research Director,Master's,12293,1,0,0,2,3,No,25,Yes
378,58,Female,Human Resources,HR Executive,High School,5425,14,9,9,4,3,No,21,No
379,43,Female,IT,IT Manager,Master's,15448,3,1,2,4,3,No,23,No
380,28,Male,Research & Development,Research Scientist,High School,6787,6,0,2,1,2,No,23,No
381,22,Female,Sales,Sales Executive,High School,11051,0,0,0,4,3,No,28,No
382,48,Male,Research & Development,Research Director,High School,6306,25,6,8,2,1,Yes,2,Yes
383,60,Male,Research & Development,Laboratory Technician,Master's,6404,0,0,0,1,3,No,10,Yes
384,37,Male,IT,Software Engineer,Bachelor's,2665,16,0,12,1,4,No,6,No
385,47,Male,Finance,Finance Manager,Master's,4962,12,0,0,1,4,No,6,No
386,25,Male,Research & Development,Laboratory Technician,Master's,11401,1,1,1,3,4,No,4,No
387,35,Female,Sales,Manager,High School,4966,10,0,2,3,4,No,26,No
388,21,Male,Research & Development,Research Director,Bachelor's,14729,2,0,0,2,4,No,16,No
389,24,Female,Sales,Sales Representative,PhD,4784,4,1,1,2,3,Yes,8,No
390,28,Female,Research & Development,Laboratory Technician,Master's,6698,6,2,3,2,1,No,3,No
391,59,Female,Human Resources,HR Executive,High School,11144,33,6,10,2,2,No,29,No
392,38,Female,Research & Development,Laboratory Technician,Master's,3107,14,1,7,1,1,No,6,No
393,37,Female,Finance,Accountant,Bachelor's,3308,3,0,2,3,1,No,24,Yes
394,31,Male,Research & Development,Research Director,Bachelor's,8134,12,9,10,1,4,Yes,14,No
395,39,Male,Sales,Sales Representative,Bachelor's,16067,14,3,4,3,2,No,2,No
396,50,Male,Finance,Finance Manager,Master's,10807,24,2,13,4,2,Yes,11,No
397,22,Male,Research & Development,Research Scientist,High School,15597,3,0,0,2,2,Yes,16,No
398,32,Male,Human Resources,HR Specialist,Bachelor's,8377,11,2,3,2,2,Yes,27,No
399,60,Female,Research & Development,Laboratory Technician,Master's,15874,11,0,10,1,1,Yes,21,Yes
400,32,Male,Research & Development,Research Scientist,Bachelor's,8624,4,0,1,4,4,No,29,No
401,41,Female,Research & Development,Research Scientist,Bachelor's,17847,4,2,2,1,4,No,4,No
402,39,Female,Sales,Sales Representative,Master's,14190,1,0,0,2,2,Yes,22,No
403,58,Female,Sales,Manager,Bachelor's,5906,5,2,3,1,4,No,4,No
404,42,Male,Human Resources,HR Executive,PhD,14063,3,0,0,2,1,No,10,No
405,41,Male,Finance,Accountant,Bachelor's,4407,18,0,1,2,2,No,24,No
406,44,Male,Sales,Manager,Master's,7502,0,0,0,3,1,No,26,Yes
407,48,Female,IT,IT Support,Bachelor's,8005,20,6,9,2,4,No,19,No
408,32,Female,IT,IT Manager,High School,17716,2,0,1,2,2,No,2,No
409,30,Male,Sales,Sales Executive,High School,8356,11,7,9,1,4,No,10,Yes
410,47,Female,Research & Development,Laboratory Technician,High School,8093,8,1,1,1,2,No,9,No
411,22,Female,Finance,Accountant,Master's,16246,0,0,0,4,4,Yes,27,No
412,48,Female,Sales,Sales Executive,Master's,6477,19,4,6,2,2,No,24,No
413,56,Female,Sales,Sales Representative,PhD,7035,35,3,13,1,4,No,4,No
414,36,Female,Sales,Manager,Master's,13867,4,0,3,3,2,No,14,No
415,27,Male,Finance,Financial Analyst,Master's,11372,0,0,0,2,3,No,5,No
416,35,Female,Research & Development,Laboratory Technician,High School,3768,10,0,0,3,3,No,19,No
417,40,Male,Finance,Accountant,PhD,2825,2,0,0,3,1,No,2,No
418,40,Female,Research & Development,Research Scientist,Master's,16746,11,2,6,3,2,No,29,No
419,21,Female,Research & Development,Research Scientist,Bachelor's,15493,0,0,0,1,4,No,29,No
420,32,Male,Sales,Manager,Master's,15063,3,0,0,1,3,No,22,No
421,42,Female,Sales,Sales Executive,PhD,17712,19,4,14,2,3,Yes,20,Yes
422,33,Male,Research & Development,Research Director,Bachelor's,17275,11,3,8,3,4,Yes,12,No
423,31,Male,Research & Development,Research Director,Bachelor's,5846,5,0,1,4,2,Yes,6,No
424,27,Male,Finance,Accountant,PhD,12636,6,3,4,4,2,No,12,No
425,33,Male,Human Resources,HR Executive,Bachelor's,12855,8,5,5,2,4,No,17,No
426,43,Female,IT,IT Manager,Bachelor's,7133,17,8,10,1,2,No,1,Yes
427,36,Male,Research & Development,Research Director,High School,5664,13,3,13,1,3,No,25,No
428,58,Male,Research & Development,Laboratory Technician,Bachelor's,12564,22,6,9,2,1,Yes,10,No
429,21,Female,Research & Development,Research Scientist,High School,3711,3,0,0,2,4,No,11,No
430,55,Female,Research & Development,Research Scientist,Master's,4839,7,2,4,2,4,Yes,27,No
431,51,Male,Research & Development,Research Director,Bachelor's,16340,3,0,0,3,4,No,16,No
432,32,Male,Research & Development,Laboratory Technician,Master's,17949,13,1,3,1,3,No,1,No
433,28,Male,Sales,Sales Representative,Master's,11816,7,2,5,2,3,No,30,No
434,47,Male,Finance,Finance Manager,Bachelor's,3769,6,0,0,1,4,No,1,No
435,38,Male,Research & Development,Research Scientist,Bachelor's,12463,2,2,2,2,1,No,12,No
436,54,Male,Sales,Sales Executive,Bachelor's,15170,28,1,1,2,2,No,25,No
437,29,Female,Research & Development,Research Director,Bachelor's,5274,9,4,5,1,2,No,27,No
438,23,Female,Research & Development,Research Director,Bachelor's,10720,2,1,1,3,3,Yes,15,No
439,40,Male,Research & Development,Research Director,PhD,15384,14,2,3,3,1,No,16,No
440,27,Male,Sales,Sales Executive,Bachelor's,5996,6,1,5,2,4,No,12,No
441,45,Male,Research & Development,Research Scientist,Bachelor's,14228,17,8,11,4,2,No,14,No
442,45,Female,Human Resources,HR Executive,Master's,12561,17,10,12,4,2,No,25,No
443,24,Female,Research & Development,Research Scientist,PhD,7589,5,0,0,4,3,No,6,Yes
444,45,Male,Research & Development,Research Scientist,Master's,11781,19,1,17,2,3,Yes,15,No
445,31,Female,Research & Development,Research Director,Bachelor's,7928,2,2,2,2,2,No,13,No
446,43,Male,Human Resources,HR Specialist,Master's,8719,23,1,18,3,4,No,27,No
447,57,Female,IT,IT Support,Bachelor's,2626,25,1,2,3,4,No,13,No
448,28,Male,Sales,Manager,Bachelor's,6680,6,5,6,2,4,Yes,9,No
449,43,Male,Human Resources,Manager,Bachelor's,8474,12,1,10,3,1,No,7,No
450,60,Male,Sales,Manager,Bachelor's,4887,6,1,1,3,2,No,21,No
451,33,Male,Research & Development,Research Scientist,Master's,17178,0,0,0,4,1,No,28,Yes
452,26,Male,Research & Development,Research Scientist,Bachelor's,8560,8,5,5,3,2,Yes,3,Yes
453,44,Female,Sales,Sales Executive,Bachelor's,4548,12,1,2,4,1,Yes,28,No
454,43,Female,Research & Development,Research Director,Bachelor's,8118,18,5,15,1,1,No,1,No
455,26,Female,Research & Development,Research Scientist,Bachelor's,16675,4,1,1,1,4,Yes,10,Yes
456,29,Male,Research & Development,Research Scientist,Bachelor's,13360,3,0,2,1,2,No,16,No
457,38,Male,Research & Development,Research Director,Bachelor's,5072,14,0,1,4,2,No,29,No
458,50,Female,Research & Development,Research Scientist,Bachelor's,14272,10,0,2,2,1,Yes,13,No
459,22,Female,Sales,Manager,Bachelor's,12523,3,2,2,4,3,Yes,29,No
460,40,Female,Sales,Manager,Bachelor's,7088,11,0,6,2,1,No,7,No
461,31,Female,Research & Development,Laboratory Technician,Bachelor's,11016,5,3,3,3,2,No,19,No
462,45,Male,IT,IT Manager,High School,8826,11,2,6,2,1,No,4,No
463,60,Male,IT,Software Engineer,Master's,9238,7,1,1,2,1,No,13,No
464,43,Male,Sales,Sales Representative,High School,3962,5,0,4,1,2,No,26,No
465,34,Male,Finance,Finance Manager,Master's,16139,15,2,4,3,4,No,22,No
466,24,Male,Research & Development,Laboratory Technician,Bachelor's,6329,2,2,2,1,4,No,1,Yes
467,31,Male,Sales,Manager,Bachelor's,11381,9,0,4,3,4,No,27,No
468,55,Female,IT,IT Manager,Master's,5439,13,0,12,4,4,Yes,18,Yes
469,56,Female,IT,IT Manager,Bachelor's,7297,7,2,6,3,1,No,24,Yes
470,33,Male,Sales,Sales Executive,Bachelor's,11237,0,0,0,2,3,No,25,No
471,45,Female,IT,IT Manager,Bachelor's,17145,5,2,5,2,1,No,25,No
472,55,Male,Research & Development,Laboratory Technician,Master's,5699,15,1,1,1,3,No,26,No
473,37,Male,Research & Development,Laboratory Technician,Bachelor's,8968,6,0,0,1,4,Yes,19,No
474,29,Female,IT,Software Engineer,Master's,17667,10,1,3,2,2,No,29,No
475,53,Male,Human Resources,Manager,Master's,2715,0,0,0,4,4,Yes,27,No
476,56,Male,Sales,Manager,High School,8218,5,1,5,2,2,Yes,17,No
477,59,Female,Human Resources,Manager,High School,3418,16,1,14,2,3,Yes,2,No
478,60,Male,Research & Development,Research Director,Bachelor's,2692,5,1,5,4,2,No,18,No
479,32,Female,Finance,Accountant,Bachelor's,13961,9,2,2,4,4,No,6,No
480,27,Male,Sales,Manager,Master's,6268,2,0,1,3,4,No,30,No
481,54,Male,Research & Development,Research Scientist,Bachelor's,16354,0,0,0,2,4,No,26,No
482,23,Female,Finance,Finance Manager,Master's,10607,2,0,0,2,3,No,1,Yes
483,47,Male,Sales,Sales Executive,Master's,2560,20,10,20,2,4,Yes,28,No
484,43,Female,Sales,Manager,Master's,5898,6,0,3,4,3,No,13,No
485,30,Female,Research & Development,Laboratory Technician,Master's,3604,1,0,0,1,4,No,9,Yes
486,38,Female,Research & Development,Research Director,PhD,7898,5,0,4,3,2,Yes,15,No
487,47,Female,Human Resources,Manager,Bachelor's,17989,24,4,4,3,2,Yes,23,No
488,23,Female,Research & Development,Research Director,Master's,17004,4,0,1,1,3,No,26,No
489,34,Female,Finance,Financial Analyst,Bachelor's,5661,5,0,1,2,2,No,30,No
490,32,Female,Sales,Sales Representative,Bachelor's,8675,7,0,7,3,2,No,17,No
491,27,Male,Sales,Sales Representative,Bachelor's,13186,8,3,6,2,1,No,25,Yes
492,53,Male,Sales,Sales Representative,Bachelor's,5701,16,0,4,4,1,Yes,24,Yes
493,60,Female,Research & Development,Laboratory Technician,Master's,15482,10,4,4,1,4,Yes,17,No
494,29,Female,Research & Development,Research Scientist,Bachelor's,2656,0,0,0,3,4,No,20,No
495,47,Female,Sales,Manager,Bachelor's,12986,14,4,11,3,2,No,25,No
496,23,Male,Research & Development,Research Scientist,Bachelor's,13549,1,0,0,3,1,No,12,No
497,55,Female,Finance,Finance Manager,High School,10552,7,3,3,2,3,No,4,No
498,30,Female,Research & Development,Research Scientist,Master's,5728,5,1,1,3,4,No,20,No
499,27,Female,Sales,Sales Representative,Bachelor's,7133,0,0,0,1,1,No,3,No
500,32,Female,Research & Development,Laboratory Technician,Bachelor's,17616,9,0,0,2,4,No,12,No
501,29,Female,Sales,Sales Representative,Master's,17626,6,4,6,1,2,Yes,2,No
502,56,Female,Research & Development,Laboratory Technician,High School,14319,13,1,2,1,2,Yes,4,No
503,60,Male,Research & Development,Research Scientist,Master's,4631,6,1,2,3,1,Yes,16,Yes
504,25,Female,Research & Development,Laboratory Technician,High School,3532,6,4,4,3,3,Yes,17,No
505,44,Male,Research & Development,Laboratory Technician,Bachelor's,10170,2,1,2,2,2,No,12,No
506,23,Female,Human Resources,HR Executive,Master's,9423,5,0,2,3,4,Yes,2,No
507,22,Male,Research & Development,Research Director,Master's,11021,3,0,0,2,2,Yes,19,No
508,31,Male,Research & Development,Laboratory Technician,Bachelor's,4045,11,3,4,1,4,Yes,4,No
509,41,Male,Finance,Finance Manager,Bachelor's,11169,21,1,20,3,4,No,7,No
510,30,Male,Sales,Sales Representative,High School,10057,6,1,5,1,3,No,24,No
511,59,Female,Research & Development,Research Scientist,High School,15829,23,0,0,4,4,Yes,12,No
512,52,Male,Finance,Finance Manager,Master's,3237,25,6,10,1,4,No,23,No
513,38,Male,IT,Software Engineer,Bachelor's,4776,14,0,0,2,4,No,18,No
514,50,Male,Research & Development,Research Scientist,Bachelor's,10868,9,3,6,3,2,No,4,No
515,38,Female,Research & Development,Research Director,Bachelor's,11994,4,1,2,3,2,Yes,12,Yes
516,46,Female,Sales,Sales Executive,Master's,12512,21,2,12,3,2,No,26,No
517,33,Female,Human Resources,HR Specialist,Bachelor's,17474,4,1,3,1,3,No,24,No
518,57,Female,Finance,Accountant,Master's,14093,12,2,4,4,1,Yes,14,No
519,35,Male,Human Resources,Manager,High School,13449,15,0,3,1,4,Yes,26,No
520,47,Female,Research & Development,Research Scientist,Master's,9811,6,2,4,2,1,No,8,No
521,57,Male,Sales,Sales Representative,PhD,13689,32,4,8,4,2,No,3,No
522,34,Female,Research & Development,Research Scientist,Master's,5383,10,5,9,1,1,Yes,9,No
523,58,Female,Sales,Manager,Master's,6166,14,4,4,2,3,Yes,22,Yes
524,32,Male,Research & Development,Research Director,Bachelor's,13702,1,0,1,1,1,No,11,No
525,24,Female,Sales,Sales Representative,High School,9922,4,0,0,1,2,No,10,No
526,52,Male,Research & Development,Research Director,High School,17694,25,10,16,4,3,No,22,No
527,29,Male,Finance,Financial Analyst,Bachelor's,11589,3,2,2,1,4,Yes,30,No
528,54,Female,Research & Development,Research Director,Master's,5651,23,9,16,1,3,No,27,No
529,42,Male,Research & Development,Research Director,Bachelor's,8088,16,6,16,4,4,No,26,Yes
530,41,Female,Finance,Financial Analyst,Bachelor's,5557,14,0,0,1,1,No,13,No
531,27,Female,Human Resources,Manager,Bachelor's,10174,8,3,4,2,2,No,10,No
532,30,Female,IT,Software Engineer,Bachelor's,10072,5,2,2,4,1,No,7,Yes
533,51,Male,Sales,Sales Executive,PhD,16657,18,1,3,4,1,No,11,No
534,21,Male,Research & Development,Research Scientist,High School,16344,2,0,1,4,3,Yes,14,No
535,41,Male,IT,IT Support,High School,15868,17,5,14,1,3,No,1,No
536,45,Male,Sales,Manager,Bachelor's,16890,12,4,5,4,4,Yes,2,No
537,33,Female,Research & Development,Research Scientist,High School,4748,0,0,0,1,1,No,19,Yes
538,37,Female,IT,IT Support,Bachelor's,15361,14,0,1,4,3,No,7,No
539,24,Female,Research & Development,Research Scientist,Bachelor's,10337,5,0,0,4,4,No,9,No
540,39,Male,Research & Development,Research Scientist,Bachelor's,7393,11,0,1,4,3,Yes,17,No
541,55,Male,Finance,Financial Analyst,Bachelor's,5892,21,3,18,1,1,No,10,Yes
542,38,Female,Sales,Sales Representative,Master's,8351,15,10,13,2,3,Yes,29,No
543,56,Male,Human Resources,Manager,Bachelor's,9154,17,2,5,1,3,No,8,No
544,24,Female,Research & Development,Laboratory Technician,Bachelor's,17244,6,3,3,4,4,Yes,14,Yes
545,24,Male,Sales,Manager,Master's,16836,6,0,0,3,1,Yes,10,Yes
546,38,Female,Finance,Accountant,High School,15777,1,0,1,4,2,No,7,No
547,54,Male,Research & Development,Research Director,High School,14832,5,1,1,2,3,Yes,12,No
548,23,Male,Research & Development,Research Director,Master's,14326,5,1,5,3,1,Yes,16,No
549,44,Male,Sales,Manager,Bachelor's,2824,16,2,5,4,2,Yes,13,No
550,23,Female,IT,IT Manager,Bachelor's,15656,3,0,0,4,4,No,24,Yes
551,47,Female,Human Resources,HR Executive,High School,16231,5,0,0,4,1,Yes,9,No
552,46,Female,Research & Development,Research Director,Master's,4986,21,10,14,3,3,No,12,No
553,32,Male,Sales,Sales Executive,Bachelor's,8996,12,1,7,1,4,No,13,No
554,30,Male,Research & Development,Research Director,Bachelor's,10246,9,1,3,4,3,Yes,7,No
555,54,Male,Research & Development,Research Scientist,High School,4074,15,6,8,1,1,No,29,No
556,40,Female,Finance,Finance Manager,Master's,6432,14,0,11,4,1,No,1,No
557,57,Male,Finance,Finance Manager,Bachelor's,16402,29,9,18,2,3,No,18,No
558,50,Female,Sales,Sales Representative,Master's,5946,12,4,8,4,1,Yes,20,No
559,27,Male,Research & Development,Laboratory Technician,Bachelor's,13289,9,2,4,1,3,No,21,No
560,59,Female,Research & Development,Research Scientist,Master's,15803,3,0,1,4,1,No,1,No
561,58,Male,Finance,Accountant,Master's,6542,1,0,0,3,2,No,3,No
562,40,Male,IT,Software Engineer,Master's,14661,2,2,2,2,2,No,10,No
563,30,Male,Finance,Accountant,PhD,3001,1,1,1,1,1,No,16,No
564,46,Male,Finance,Financial Analyst,High School,12299,5,1,3,1,2,No,16,Yes
565,36,Male,Human Resources,HR Executive,Bachelor's,2937,10,1,4,3,2,No,30,No
566,27,Female,Research & Development,Research Scientist,Master's,15801,5,2,4,3,1,No,20,No
567,35,Male,Research & Development,Research Scientist,Bachelor's,17943,9,3,5,1,2,No,7,Yes
568,51,Female,Research & Development,Laboratory Technician,Bachelor's,7692,13,0,4,1,3,No,13,No
569,49,Female,Finance,Accountant,Master's,11757,4,0,1,4,1,Yes,14,No
570,45,Female,IT,Software Engineer,Master's,11328,21,1,2,2,2,No,26,No
571,44,Male,Human Resources,Manager,Bachelor's,14724,15,0,3,1,3,No,20,No
572,44,Female,Human Resources,Manager,Bachelor's,5392,21,9,11,1,4,Yes,3,No
573,35,Female,Sales,Sales Executive,Bachelor's,6565,15,8,14,3,1,No,19,No
574,54,Male,IT,Software Engineer,High School,15850,22,2,6,3,4,Yes,26,No
575,52,Female,IT,IT Manager,High School,11367,3,1,3,4,4,No,28,No
576,45,Male,Research & Development,Research Director,Master's,4100,15,2,9,1,4,No,24,No
577,38,Male,Research & Development,Research Scientist,High School,7509,17,8,15,2,2,No,12,No
578,36,Male,Sales,Sales Executive,Master's,2600,18,0,8,2,4,Yes,14,No
579,40,Female,Sales,Manager,Master's,14060,1,0,0,3,3,No,16,No
580,25,Male,Research & Development,Research Director,Master's,11197,0,0,0,2,4,No,17,No
581,29,Male,Sales,Sales Representative,Bachelor's,7516,8,1,1,3,2,No,29,No
582,36,Female,Sales,Manager,Master's,17461,10,2,2,2,2,Yes,13,No
583,58,Female,Finance,Financial Analyst,Master's,14225,12,2,3,1,4,Yes,8,No
584,29,Female,IT,IT Support,Bachelor's,7174,9,0,0,2,2,Yes,3,Yes
585,23,Male,Research & Development,Laboratory Technician,Bachelor's,14454,5,0,3,1,3,No,23,Yes
586,22,Female,Sales,Manager,PhD,4145,1,0,0,1,2,Yes,10,No
587,27,Male,Human Resources,HR Specialist,Bachelor's,6992,5,2,5,3,2,No,24,No
588,56,Female,IT,IT Support,High School,12586,1,0,0,2,2,Yes,4,No
589,50,Male,Sales,Sales Representative,Bachelor's,5426,7,0,1,1,3,No,25,No
590,47,Male,Sales,Manager,Bachelor's,8670,7,1,7,2,3,No,10,No
591,53,Female,Research & Development,Research Director,High School,14301,15,6,6,4,4,No,10,No
592,33,Male,Research & Development,Research Director,Master's,8238,11,0,0,3,1,No,18,No
593,21,Female,IT,Software Engineer,High School,13161,0,0,0,2,1,No,18,No
594,37,Female,Human Resources,HR Specialist,Master's,7369,5,5,5,2,3,No,14,No
595,33,Female,Sales,Sales Executive,Bachelor's,12109,4,0,0,1,3,Yes,15,No
596,55,Male,Human Resources,HR Specialist,High School,13371,2,1,2,3,2,No,17,No
597,23,Male,Sales,Sales Executive,Bachelor's,9249,2,0,0,4,1,No,28,Yes
598,36,Male,Research & Development,Research Scientist,Bachelor's,12121,15,2,7,4,3,No,14,No
599,36,Male,Research & Development,Laboratory Technician,PhD,16003,9,0,0,4,4,No,24,No
600,23,Female,Research & Development,Research Scientist,Master's,17628,1,1,1,4,1,Yes,22,No
601,41,Female,Sales,Sales Executive,Bachelor's,11047,9,3,5,4,1,No,27,No
602,42,Female,Finance,Finance Manager,Bachelor's,3608,22,0,4,3,1,Yes,17,No
603,48,Female,Research & Development,Research Scientist,Master's,3900,27,6,10,2,4,No,3,No
604,41,Female,Sales,Sales Executive,Bachelor's,12725,19,3,5,1,2,No,26,No
605,33,Female,Research & Development,Research Scientist,Master's,7420,2,0,0,3,3,No,5,No
606,40,Female,Finance,Accountant,Bachelor's,8843,4,0,0,4,2,No,16,No
607,52,Female,Sales,Sales Executive,Bachelor's,7595,23,8,15,2,3,Yes,13,No
608,25,Female,Sales,Manager,Bachelor's,5901,5,0,0,4,2,Yes,7,Yes
609,38,Male,Research & Development,Laboratory Technician,Bachelor's,3676,20,0,13,1,1,No,11,No
610,59,Male,Research & Development,Research Scientist,Bachelor's,17281,12,0,1,2,1,No,18,No
611,26,Female,Research & Development,Research Director,PhD,13285,2,0,0,4,1,Yes,10,No
612,50,Male,Sales,Sales Executive,Master's,15805,15,2,6,4,4,Yes,3,No
613,26,Male,Sales,Sales Executive,Bachelor's,11781,7,0,2,1,4,No,6,No
614,26,Female,Human Resources,HR Executive,Bachelor's,13202,1,0,0,1,2,No,26,No
615,51,Male,Research & Development,Research Director,Bachelor's,17067,28,0,9,4,4,Yes,24,No
616,38,Female,Research & Development,Laboratory Technician,Bachelor's,5055,4,0,1,3,4,Yes,22,Yes
617,31,Female,Sales,Manager,Bachelor's,14259,0,0,0,3,4,No,19,No
618,46,Male,Sales,Sales Executive,Master's,15058,11,1,1,4,4,No,6,No
619,28,Male,Research & Development,Laboratory Technician,PhD,4986,10,1,4,2,2,Yes,10,No
620,59,Male,Human Resources,Manager,Bachelor's,10766,13,3,7,3,1,No,11,No
621,43,Male,Sales,Sales Representative,High School,12703,12,3,4,2,4,No,19,No
622,37,Male,Sales,Manager,Bachelor's,17049,10,1,1,2,3,No,12,No
623,50,Male,Research & Development,Research Director,Bachelor's,12131,27,0,13,2,2,No,6,No
624,60,Male,Research & Development,Laboratory Technician,PhD,11449,14,5,10,4,1,No,12,No
625,54,Female,Sales,Sales Executive,Bachelor's,15462,10,1,5,4,1,No,27,No
626,28,Male,Human Resources,HR Specialist,Bachelor's,3492,3,0,2,1,2,Yes,7,Yes
627,60,Female,Finance,Accountant,PhD,16682,27,5,6,4,3,No,18,No
628,58,Male,Research & Development,Research Director,Master's,15663,27,2,4,3,3,No,20,No
629,43,Female,IT,IT Manager,Bachelor's,8493,6,1,5,3,2,No,19,No
630,45,Male,Sales,Sales Representative,High School,11026,18,6,6,4,3,Yes,4,No
631,53,Female,Human Resources,HR Specialist,Bachelor's,7641,9,1,2,3,1,No,11,No
632,50,Female,Sales,Sales Executive,Master's,14130,1,0,0,2,1,No,2,No
633,26,Female,Research & Development,Research Director,Bachelor's,6051,7,2,4,3,1,No,1,No
634,54,Female,Research & Development,Research Scientist,Master's,4277,8,6,7,3,3,No,20,No
635,42,Female,Sales,Sales Representative,Bachelor's,15022,10,6,7,3,1,Yes,8,Yes
